unique_id,BuildNET ID,association_badges,State,Photo,District,Category,Sub Category,Name,Website,phone_number,Address,Location,Area,Pin Code,Rating Count,Review,Map Link,TAGS,PRODUCTS ,Email Id,PlusCode,latitude,latitude,Instagram Profile,Facebook Profile,Linkedin Profile,Twitter Profile,Images Folder
,,,,,Ernakulam,TMT,Iron and steel store,Kalliyath Steel Industries,http://kalliyathindia.com/,0484 245 5232,"Industrial Development Plot, Chemannoor, Angamaly South, Ernakulam, Angamaly, Kerala 680578",Ernakulam,Angamaly,680578,15,3.8,9035926889514392729,,,,,,,,,,,
,,,,,Ernakulam,TMT,Iron and steel store,Ameer Metal Stores,,098460 13209,"Ameer Complex, Chittoor Rd, Ayyappankavu, Ernakulam, Kerala 682018",Ernakulam,Kerala,682018,7,4.4,1526513466973572929,,,,,,,,,,,
,,,,,Ernakulam,TMT,Iron and steel store,Puthedath Traders,,095676 62837,"D. No. 33/2430- B, Service Rd, NH Bypass Road, Bhavaraparambu Junction, Chakkaraparambu, Thammanam, Kochi, Ernakulam, Kerala 682025",Kochi,Ernakulam,682025,8,3.8,10572454338978732616,,,,,,,,,,,
,,,,,Ernakulam,TMT,Steel industry,KAIRALI TMT STEEL BARS,https://kairalitmt.com/,0495 232 0025,"134/A Nida, Kanjikode, Kerala 678621",Kanjikode,Pudussery Central,678621,125,4.4,6305162558194952873,,,,,,,,,,,
,,,,,Ernakulam,TMT,Steel distributor,Thottathil Steels,,081296 82064,"32/1727 B N.H Bypass, Puthiya Road, bustop, Palarivattom, Kochi, Kerala 682025",Kochi,Ernakulam,682025,10,3.8,17447890959327536977,,,,,,,,,,,
,,,,,Ernakulam,TMT,Iron and steel store,Premier Steels,,0484 236 3616,"272W%2BV7G, Valiyaveettil, Jew St, Ernakulam, Kerala 680035",Ernakulam,Kerala,680035,5,4.6,10447836147170494693,,,,,,,,,,,
,,,,,Ernakulam,TMT,Point of interest,VAJRAM TMT,,,"W2QH%2BWWC, Adimali-Nedumkandam Road, Parathode, Kerala 685571",Parathode,Kerala,685571,0,,16123192428543584049,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Alappuzha,RMC,Ready mix concrete supplier,SCC Ready Mix Concrete,,098953 71234,"Kollakadavu Industrial Estate Eravankara Junction, Kochalummoodu - Pandalam Rd, Kallimel, Mavelikara, Kerala 690570",Mavelikara,Kerala,690570,28,4.3,5527856943402062369,,,,,,,,,,,
,,,,,Alappuzha,RMC,Ready mix concrete supplier,RDC Concrete (India) Limited,https://www.rdcconcrete.com/,093888 11111,"Manipuzha, Moolavattom, Nattakom, Kottayam, Kerala 686013",Nattakom,Kottayam,686013,20,4.9,10988273073426028865,,,,,,,,,,,
,,,,,Alappuzha,RMC,Ready mix concrete supplier,"Hywel ReadyMix Concrete | Kottayam,Pathanamthitta & Alleppey ( ഹൈവെൽ റെഡി മിക്സ് കോൺക്രീറ്റ് )",,095260 31900,"Industrial Development Plot , Thottappadi Road, Kunnamthanam, Thiruvalla, Kerala 689581",Thiruvalla,Kunnamthanam,689581,36,3.9,7036177934543301717,,,,,,,,,,,
,,,,,Alappuzha,RMC,Warehouse,Ultratech cement LTD,https://www.ultratechcement.com/,1800 210 3311,"F89W%2BXGQ, Alappuzha - Veliyanad Rd, opposite of National Saw Mill, Kalarcode, Pazhaveedu, Alappuzha, Paravur, Kerala 688003",Alappuzha,Paravur,688003,4,4.8,3694315433966289072,,,,,,,,,,,
,,,,,Alappuzha,RMC,Ready mix concrete supplier,RDC Concrete (India) Limited,http://rdcconcrete.com/,093888 11111,"XVI/2C, Chithrappuzha-Ponjassery Rd, near BPCL Pump, Ambalamugal, Ernakulam, Kerala 682302",Ernakulam,Kochi,682302,24,3.9,8048880428610020812,,,,,,,,,,,
,,,,,Alappuzha,RMC,Ready mix concrete supplier,RDC Concrete (India) Limited,http://www.rdcconcrete.com/,093888 11111,"Plot No. VI/58 %26 59 Industrial Development Area, Muppathadam Rd, P.O, Edayar, Kochi, Kerala 683110",Kochi,Kerala,683110,41,4.2,13688029315427009228,,,,,,,,,,,
,,,,,Alappuzha,RMC,Ready mix concrete supplier,RMC Readymix Concrete india Ltd (PRISM RMC) Prism johnson Ltd,http://www.rmcindia.com/,072111 52000,"Binanipuram, Edayar, Ernakulam, Kerala 683502",Ernakulam,Kerala,683502,26,4.3,9955325919672770286,,,,,,,,,,,
,,,,,Alappuzha,RMC,Ready mix concrete supplier,CVC Ready Mix Concrete,http://www.cherianvarkey.com/,098470 68369,"NH-47, Kumbalam, Panagad, Bridge, near Aroor Toll Plaza, Kumbalam, Kochi, Kerala 682502",Kochi,Ernakulam,682502,41,4.3,241625311996554104,,,,,,,,,,,
,,,,,Alappuzha,RMC,Ready mix concrete supplier,Inframarket RMC Plant - Kochi,https://infra.market/ready-mix-plant/ernakulam/rmc-plants-in-kochi/?utm_source=Google_Local&utm_medium=organic_local,096063 50000,"RE. Sy. No. 222/2, Post, Puthencurez Village, Ambalamugal, Kochi, Kerala 682302",Kochi,Kerala,682302,8,4.9,6082945942912295830,,,,,,,,,,,
,,,,,Alappuzha,RMC,Ready mix concrete supplier,ULTRA READY MIX CONCRETE PVT LTD UNIT 15,,,"C/o: TATA Project limited , Smart city(Kochi) No101/3, Puthencruz village, Brahmapuram(PO, Tk, Pallikkara, Kochi, Kerala 682303",Kochi,Kakkanad,682303,7,4.7,14256263566760714678,,,,,,,,,,,
,,,,,Alappuzha,RMC,Ready mix concrete supplier,Marymatha Concrete,,,"Kudannoor-Thoppumpady Bypass, Near Maritime University, opposite Kannangattu Bridge, Kochi, Kerala 682029",Kochi,Kerala,682029,42,4.5,960590971875918988,,,,,,,,,,,
,,,,,Alappuzha,RMC,Ready mix concrete supplier,Contour Readymix,,,"P. O, 33/365 B, Padamugal - Palachuvadu Rd, Vennala, Kochi, Kerala 682028",Kochi,Kerala,682028,32,4.1,12718126885417491898,,,,,,,,,,,
